# ----------------------------------------
# All Web Site Data
# Searches by Player and Date
# 20191020-20191026
# ----------------------------------------

Event Label,Date,Total Events,Unique Events,Event Value,Avg. Value
46769,20191021,2,1,"93,538","46,769.00"
46758,20191023,2,1,"93,516","46,758.00"
93112,20191021,1,1,"93,112","93,112.00"
93112,20191022,1,1,"93,112","93,112.00"
46460,20191024,2,1,"92,920","46,460.00"
46445,20191026,2,2,"92,890","46,445.00"
46441,20191025,2,2,"92,882","46,441.00"
46369,20191021,2,1,"92,738","46,369.00"
46320,20191022,2,2,"92,640","46,320.00"
46199,20191022,2,1,"92,398","46,199.00"
46125,20191023,2,1,"92,250","46,125.00"
92228,20191021,1,1,"92,228","92,228.00"
92176,20191021,1,1,"92,176","92,176.00"
18433,20191022,5,4,"92,165","18,433.00"
46082,20191020,2,1,"92,164","46,082.00"
92130,20191022,1,1,"92,130","92,130.00"
91991,20191022,1,1,"91,991","91,991.00"
91991,20191026,1,1,"91,991","91,991.00"
30620,20191024,3,1,"91,860","30,620.00"
91808,20191022,1,1,"91,808","91,808.00"
91808,20191024,1,1,"91,808","91,808.00"
91699,20191021,1,1,"91,699","91,699.00"
30501,20191024,3,3,"91,503","30,501.00"
45562,20191020,2,1,"91,124","45,562.00"
90797,20191024,1,1,"90,797","90,797.00"
90714,20191024,1,1,"90,714","90,714.00"
18099,20191024,5,2,"90,495","18,099.00"
30050,20191024,3,3,"90,150","30,050.00"
30018,20191021,3,2,"90,054","30,018.00"
30018,20191024,3,2,"90,054","30,018.00"
44905,20191025,2,2,"89,810","44,905.00"
89751,20191023,1,1,"89,751","89,751.00"
89643,20191026,1,1,"89,643","89,643.00"
89611,20191021,1,1,"89,611","89,611.00"
89594,20191024,1,1,"89,594","89,594.00"
89548,20191020,1,1,"89,548","89,548.00"
89548,20191026,1,1,"89,548","89,548.00"
89528,20191025,1,1,"89,528","89,528.00"
44755,20191023,2,2,"89,510","44,755.00"
89330,20191022,1,1,"89,330","89,330.00"
89330,20191026,1,1,"89,330","89,330.00"
44598,20191021,2,1,"89,196","44,598.00"
29729,20191020,3,2,"89,187","29,729.00"
44555,20191022,2,2,"89,110","44,555.00"
44525,20191026,2,2,"89,050","44,525.00"
88959,20191022,1,1,"88,959","88,959.00"
88904,20191021,1,1,"88,904","88,904.00"
88904,20191025,1,1,"88,904","88,904.00"
29551,20191020,3,2,"88,653","29,551.00"
44279,20191021,2,2,"88,558","44,279.00"
44279,20191024,2,1,"88,558","44,279.00"
14745,20191026,6,4,"88,470","14,745.00"
88446,20191022,1,1,"88,446","88,446.00"
88446,20191025,1,1,"88,446","88,446.00"
88446,20191026,1,1,"88,446","88,446.00"
44221,20191022,2,1,"88,442","44,221.00"
44199,20191026,2,1,"88,398","44,199.00"
44150,20191022,2,1,"88,300","44,150.00"
88294,20191026,1,1,"88,294","88,294.00"
44144,20191025,2,2,"88,288","44,144.00"
