Event Label,Date,Total Events,Unique Events,Event Value,Avg. Value
460,20191020,3,3,"1,380",460
46173,20191019,3,1,"138,519","46,173.00"
46369,20191017,3,1,"139,107","46,369.00"
464,20191018,3,2,"1,392",464
464,20191019,3,3,"1,392",464
46768,20191019,3,2,"140,304","46,768.00"
47,20191020,3,3,141,47
479,20191019,3,1,"1,437",479
481,20191015,3,2,"1,443",481
484,20191018,3,2,"1,452",484
484,20191019,3,2,"1,452",484
4895,20191015,3,1,"14,685","4,895.00"
49,20191020,3,2,147,49
491,20191016,3,3,"1,473",491
4919,20191018,3,1,"14,757","4,919.00"
4993,20191018,3,3,"14,979","4,993.00"
5,20191020,3,2,15,5
510,20191019,3,3,"1,530",510
522,20191017,3,3,"1,566",522
528,20191017,3,2,"1,584",528
528,20191019,3,3,"1,584",528
529,20191018,3,1,"1,587",529
529,20191020,3,3,"1,587",529
531,20191020,3,2,"1,593",531
5529,20191015,3,2,"16,587","5,529.00"
56585,20191018,3,2,"169,755","56,585.00"
56600,20191014,3,3,"169,800","56,600.00"
57,20191018,3,2,171,57
570,20191016,3,3,"1,710",570
57541,20191016,3,1,"172,623","57,541.00"
58,20191018,3,2,174,58
58159,20191020,3,2,"174,477","58,159.00"
638,20191019,3,1,"1,914",638
641,20191020,3,2,"1,923",641
657,20191014,3,2,"1,971",657
657,20191017,3,2,"1,971",657
6627,20191015,3,2,"19,881","6,627.00"
6805,20191018,3,3,"20,415","6,805.00"
68888,20191019,3,1,"206,664","68,888.00"
68895,20191017,3,1,"206,685","68,895.00"
68950,20191018,3,2,"206,850","68,950.00"
68981,20191016,3,2,"206,943","68,981.00"
68985,20191020,3,2,"206,955","68,985.00"
68990,20191017,3,3,"206,970","68,990.00"
68992,20191019,3,2,"206,976","68,992.00"
68996,20191016,3,1,"206,988","68,996.00"
69009,20191016,3,2,"207,027","69,009.00"
69022,20191015,3,1,"207,066","69,022.00"
69029,20191016,3,2,"207,087","69,029.00"
69076,20191016,3,2,"207,228","69,076.00"
69079,20191016,3,2,"207,237","69,079.00"
69079,20191018,3,2,"207,237","69,079.00"
69079,20191019,3,1,"207,237","69,079.00"
69174,20191017,3,2,"207,522","69,174.00"
69425,20191018,3,2,"208,275","69,425.00"
69672,20191014,3,1,"209,016","69,672.00"
69750,20191015,3,3,"209,250","69,750.00"
69859,20191015,3,1,"209,577","69,859.00"
69988,20191019,3,2,"209,964","69,988.00"
7,20191014,3,2,21,7
70002,20191016,3,2,"210,006","70,002.00"
70093,20191019,3,1,"210,279","70,093.00"
70234,20191014,3,3,"210,702","70,234.00"
704,20191018,3,2,"2,112",704
70431,20191015,3,1,"211,293","70,431.00"
7061,20191019,3,2,"21,183","7,061.00"
7108,20191015,3,1,"21,324","7,108.00"
71781,20191015,3,2,"215,343","71,781.00"
7218,20191020,3,2,"21,654","7,218.00"
7238,20191014,3,2,"21,714","7,238.00"
724,20191020,3,3,"2,172",724
729,20191017,3,3,"2,187",729
736,20191019,3,1,"2,208",736
7722,20191019,3,3,"23,166","7,722.00"
797,20191017,3,1,"2,391",797
8363,20191019,3,2,"25,089","8,363.00"
841,20191019,3,2,"2,523",841
844,20191019,3,3,"2,532",844
85,20191018,3,2,255,85
852,20191020,3,3,"2,556",852
85824,20191015,3,1,"257,472","85,824.00"
86,20191017,3,2,258,86
86273,20191018,3,3,"258,819","86,273.00"
86401,20191020,3,2,"259,203","86,401.00"
874,20191018,3,2,"2,622",874
874,20191019,3,3,"2,622",874
88,20191019,3,3,264,88
8863,20191016,3,2,"26,589","8,863.00"
8863,20191017,3,3,"26,589","8,863.00"
896,20191019,3,3,"2,688",896
902,20191019,3,2,"2,706",902
9116,20191018,3,3,"27,348","9,116.00"
937,20191017,3,1,"2,811",937
9483,20191020,3,2,"28,449","9,483.00"
953,20191020,3,3,"2,859",953
96,20191018,3,1,288,96
97,20191014,3,3,291,97
9732,20191019,3,1,"29,196","9,732.00"
10,20191017,2,2,20,10
1007,20191018,2,2,"2,014","1,007.00"
101,20191018,2,2,202,101
1015,20191020,2,2,"2,030","1,015.00"
1024,20191015,2,1,"2,048","1,024.00"
1053,20191016,2,2,"2,106","1,053.00"
1077,20191017,2,2,"2,154","1,077.00"
108,20191017,2,1,216,108
11070,20191015,2,2,"22,140","11,070.00"
11093,20191019,2,2,"22,186","11,093.00"
111185,20191018,2,2,"222,370","111,185.00"
111843,20191016,2,1,"223,686","111,843.00"
1125,20191014,2,2,"2,250","1,125.00"
1125,20191018,2,2,"2,250","1,125.00"
1125,20191019,2,2,"2,250","1,125.00"
112697,20191017,2,1,"225,394","112,697.00"
113594,20191018,2,2,"227,188","113,594.00"
1137,20191017,2,2,"2,274","1,137.00"
1137,20191020,2,2,"2,274","1,137.00"
113703,20191015,2,2,"227,406","113,703.00"
113703,20191019,2,2,"227,406","113,703.00"
115319,20191019,2,1,"230,638","115,319.00"
115626,20191016,2,1,"231,252","115,626.00"
11590,20191020,2,1,"23,180","11,590.00"
