Event,Region,Rank,Payout,Players
CC Thursday #1,Middle East,2,750,1
CC Thursday #1,Middle East,3,550,1
CC Thursday #1,Middle East,4,400,1
CC Thursday #1,Middle East,5,300,1
CC Thursday #1,Middle East,6,275,1
CC Thursday #1,Middle East,7,250,1
CC Thursday #1,Middle East,10,200,1
CC Thursday #1,NA East,1,5500,1
CC Thursday #1,NA East,2,4000,1
CC Thursday #1,NA East,3,2500,1
CC Thursday #1,NA East,4,1750,1
CC Thursday #1,NA East,5,1500,1
CC Thursday #1,NA East,6,1200,1
CC Thursday #1,NA East,7,1000,1
CC Thursday #1,NA East,8,850,1
CC Thursday #1,NA East,9,700,1
CC Thursday #1,NA East,10,625,1
CC Thursday #1,NA East,20,425,1
CC Thursday #1,NA East,30,300,1
CC Thursday #1,NA East,40,200,1
CC Thursday #1,NA West,1,2500,1
CC Thursday #1,NA West,2,2000,1
CC Thursday #1,NA West,3,1500,1
CC Thursday #1,NA West,4,1250,1
CC Thursday #1,NA West,5,800,1
CC Thursday #1,NA West,6,650,1
CC Thursday #1,NA West,7,550,1
CC Thursday #1,NA West,8,450,1
CC Thursday #1,NA West,9,375,1
CC Thursday #1,NA West,10,300,1
CC Thursday #1,NA West,20,200,1
CC Thursday #1,Oceania,1,1000,1
CC Thursday #1,Oceania,2,750,1
CC Thursday #1,Oceania,3,550,1
CC Thursday #1,Oceania,4,400,1
CC Thursday #1,Oceania,5,300,1
CC Thursday #1,Oceania,6,275,1
CC Thursday #1,Oceania,7,250,1
CC Thursday #1,Oceania,10,200,1
CC Thursday #2,Asia,1,1000,1
CC Thursday #2,Asia,2,750,1
CC Thursday #2,Asia,3,550,1
CC Thursday #2,Asia,4,400,1
CC Thursday #2,Asia,5,300,1
CC Thursday #2,Asia,6,275,1
CC Thursday #2,Asia,7,250,1
CC Thursday #2,Asia,10,200,1
CC Thursday #2,Brazil,1,2500,1
CC Thursday #2,Brazil,2,2000,1
CC Thursday #2,Brazil,3,1500,1
CC Thursday #2,Brazil,4,1250,1
CC Thursday #2,Brazil,5,800,1
CC Thursday #2,Brazil,6,650,1
CC Thursday #2,Brazil,7,550,1
CC Thursday #2,Brazil,8,450,1
CC Thursday #2,Brazil,9,375,1
CC Thursday #2,Brazil,10,300,1
CC Thursday #2,Brazil,20,200,1
CC Thursday #2,Europe,1,7000,1
CC Thursday #2,Europe,2,5000,1
CC Thursday #2,Europe,3,3500,1
CC Thursday #2,Europe,4,2250,1
CC Thursday #2,Europe,5,1750,1
CC Thursday #2,Europe,6,1500,1
CC Thursday #2,Europe,7,1250,1
CC Thursday #2,Europe,8,1000,1
CC Thursday #2,Europe,9,900,1
CC Thursday #2,Europe,10,800,1
CC Thursday #2,Europe,20,700,1
CC Thursday #2,Europe,30,430,1
CC Thursday #2,Europe,40,300,1
CC Thursday #2,Europe,50,200,1
CC Thursday #2,Middle East,1,1000,1
CC Thursday #2,Middle East,2,750,1
CC Thursday #2,Middle East,3,550,1
CC Thursday #2,Middle East,4,400,1
CC Thursday #2,Middle East,5,300,1
CC Thursday #2,Middle East,6,275,1
CC Thursday #2,Middle East,7,250,1
CC Thursday #2,Middle East,10,200,1
CC Thursday #2,NA East,1,5500,1
CC Thursday #2,NA East,2,4000,1
CC Thursday #2,NA East,3,2500,1
CC Thursday #2,NA East,4,1750,1
CC Thursday #2,NA East,5,1500,1
CC Thursday #2,NA East,6,1200,1
CC Thursday #2,NA East,7,1000,1
CC Thursday #2,NA East,8,850,1
CC Thursday #2,NA East,9,700,1
CC Thursday #2,NA East,10,625,1
CC Thursday #2,NA East,20,425,1
CC Thursday #2,NA East,30,300,1
CC Thursday #2,NA East,40,200,1
CC Thursday #2,NA West,1,2500,1
CC Thursday #2,NA West,2,2000,1
CC Thursday #2,NA West,3,1500,1
CC Thursday #2,NA West,4,1250,1
CC Thursday #2,NA West,5,800,1
CC Thursday #2,NA West,6,650,1
CC Thursday #2,NA West,7,550,1
CC Thursday #2,NA West,8,450,1
CC Thursday #2,NA West,9,375,1
CC Thursday #2,NA West,10,300,1
CC Thursday #2,NA West,20,200,1
CC Thursday #2,Oceania,1,1000,1
CC Thursday #2,Oceania,2,750,1
CC Thursday #2,Oceania,3,550,1
CC Thursday #2,Oceania,4,400,1
CC Thursday #2,Oceania,5,300,1
CC Thursday #2,Oceania,6,275,1
CC Thursday #2,Oceania,7,250,1
CC Thursday #2,Oceania,10,200,1
CC Thursday #3,Asia,1,1000,1
CC Thursday #3,Asia,2,750,1
CC Thursday #3,Asia,3,550,1
CC Thursday #3,Asia,4,400,1
CC Thursday #3,Asia,5,300,1
CC Thursday #3,Asia,6,275,1
CC Thursday #3,Asia,7,250,1
CC Thursday #3,Asia,10,200,1
CC Thursday #3,Brazil,1,2500,1
CC Thursday #3,Brazil,2,2000,1
CC Thursday #3,Brazil,3,1500,1
CC Thursday #3,Brazil,4,1250,1
CC Thursday #3,Brazil,5,800,1
CC Thursday #3,Brazil,6,650,1
CC Thursday #3,Brazil,7,550,1
CC Thursday #3,Brazil,8,450,1
CC Thursday #3,Brazil,9,375,1
CC Thursday #3,Brazil,10,300,1
CC Thursday #3,Brazil,20,200,1
CC Thursday #3,Europe,1,7000,1
CC Thursday #3,Europe,2,5000,1
CC Thursday #3,Europe,3,3500,1
CC Thursday #3,Europe,4,2250,1
CC Thursday #3,Europe,5,1750,1
CC Thursday #3,Europe,6,1500,1
CC Thursday #3,Europe,7,1250,1
CC Thursday #3,Europe,8,1000,1
CC Thursday #3,Europe,9,900,1
CC Thursday #3,Europe,10,800,1
CC Thursday #3,Europe,20,700,1
CC Thursday #3,Europe,30,430,1
CC Thursday #3,Europe,40,300,1
CC Thursday #3,Europe,50,200,1
CC Thursday #3,Middle East,1,1000,1
CC Thursday #3,Middle East,2,750,1
CC Thursday #3,Middle East,3,550,1
CC Thursday #3,Middle East,4,400,1
CC Thursday #3,Middle East,5,300,1
CC Thursday #3,Middle East,6,275,1
CC Thursday #3,Middle East,7,250,1
CC Thursday #3,Middle East,10,200,1
CC Thursday #3,NA East,1,5500,1
CC Thursday #3,NA East,2,4000,1
CC Thursday #3,NA East,3,2500,1
CC Thursday #3,NA East,4,1750,1
CC Thursday #3,NA East,5,1500,1
CC Thursday #3,NA East,6,1200,1
CC Thursday #3,NA East,7,1000,1
CC Thursday #3,NA East,8,850,1
CC Thursday #3,NA East,9,700,1
CC Thursday #3,NA East,10,625,1
CC Thursday #3,NA East,20,425,1
CC Thursday #3,NA East,30,300,1
CC Thursday #3,NA East,40,200,1
CC Thursday #3,NA West,1,2500,1
CC Thursday #3,NA West,2,2000,1
CC Thursday #3,NA West,3,1500,1
CC Thursday #3,NA West,4,1250,1
CC Thursday #3,NA West,5,800,1
CC Thursday #3,NA West,6,650,1
CC Thursday #3,NA West,7,550,1
CC Thursday #3,NA West,8,450,1
CC Thursday #3,NA West,9,375,1
CC Thursday #3,NA West,10,300,1
CC Thursday #3,NA West,20,200,1
CC Thursday #3,Oceania,1,1000,1
CC Thursday #3,Oceania,2,750,1
CC Thursday #3,Oceania,3,550,1
CC Thursday #3,Oceania,4,400,1
CC Thursday #3,Oceania,5,300,1
CC Thursday #3,Oceania,6,275,1
CC Thursday #3,Oceania,7,250,1
CC Thursday #3,Oceania,10,200,1
CC Thursday #4,Asia,1,1000,1
CC Thursday #4,Asia,2,750,1
CC Thursday #4,Asia,3,550,1
CC Thursday #4,Asia,4,400,1
CC Thursday #4,Asia,5,300,1
CC Thursday #4,Asia,6,275,1
CC Thursday #4,Asia,7,250,1
CC Thursday #4,Asia,10,200,1
CC Thursday #4,Brazil,1,2500,1
CC Thursday #4,Brazil,2,2000,1
CC Thursday #4,Brazil,3,1500,1
CC Thursday #4,Brazil,4,1250,1
CC Thursday #4,Brazil,5,800,1
CC Thursday #4,Brazil,6,650,1
CC Thursday #4,Brazil,7,550,1
CC Thursday #4,Brazil,8,450,1
CC Thursday #4,Brazil,9,375,1
CC Thursday #4,Brazil,10,300,1
CC Thursday #4,Brazil,20,200,1
CC Thursday #4,Europe,1,7000,1
CC Thursday #4,Europe,2,5000,1
CC Thursday #4,Europe,3,3500,1
CC Thursday #4,Europe,4,2250,1
CC Thursday #4,Europe,5,1750,1
CC Thursday #4,Europe,6,1500,1
CC Thursday #4,Europe,7,1250,1
CC Thursday #4,Europe,8,1000,1
CC Thursday #4,Europe,9,900,1
CC Thursday #4,Europe,10,800,1
CC Thursday #4,Europe,20,700,1
CC Thursday #4,Europe,30,430,1
CC Thursday #4,Europe,40,300,1
CC Thursday #4,Europe,50,200,1
CC Thursday #4,Middle East,1,1000,1
CC Thursday #4,Middle East,2,750,1
CC Thursday #4,Middle East,3,550,1
CC Thursday #4,Middle East,4,400,1
CC Thursday #4,Middle East,5,300,1
CC Thursday #4,Middle East,6,275,1
CC Thursday #4,Middle East,7,250,1
CC Thursday #4,Middle East,10,200,1
CC Thursday #4,NA East,1,5500,1
CC Thursday #4,NA East,2,4000,1
CC Thursday #4,NA East,3,2500,1
CC Thursday #4,NA East,4,1750,1
CC Thursday #4,NA East,5,1500,1
CC Thursday #4,NA East,6,1200,1
CC Thursday #4,NA East,7,1000,1
CC Thursday #4,NA East,8,850,1
CC Thursday #4,NA East,9,700,1
CC Thursday #4,NA East,10,625,1
CC Thursday #4,NA East,20,425,1
CC Thursday #4,NA East,30,300,1
CC Thursday #4,NA East,40,200,1
CC Thursday #4,NA West,1,2500,1
CC Thursday #4,NA West,2,2000,1
CC Thursday #4,NA West,3,1500,1
CC Thursday #4,NA West,4,1250,1
CC Thursday #4,NA West,5,800,1
CC Thursday #4,NA West,6,650,1
CC Thursday #4,NA West,7,550,1
CC Thursday #4,NA West,8,450,1
CC Thursday #4,NA West,9,375,1
CC Thursday #4,NA West,10,300,1
CC Thursday #4,NA West,20,200,1
CC Thursday #4,Oceania,1,1000,1
CC Thursday #4,Oceania,2,750,1
CC Thursday #4,Oceania,3,550,1
CC Thursday #4,Oceania,4,400,1
CC Thursday #4,Oceania,5,300,1
CC Thursday #4,Oceania,6,275,1
CC Thursday #4,Oceania,7,250,1
