"Region","Player","Payout","RawPowerPoints"
"Europe","Floriixn","3540","3613.52"
"Europe","Gаfow","3540","4525.88"
"Europe","xKumu","3535","4647.14"
"Europe","STAR PеaK","3530","3549.76"
"Europe","TrainH Sayreez","3520","3677.04"
"Europe","Nudelkongen","3505","6835.39"
"Europe","Queásy","3505","5631.49"
"Europe","IceFirе","3505","5265.61"
"Europe","S2V broken","3495","4512.37"
"Europe","LDLC Spk","3440","3689.58"
"Europe","COOLER Gebber","3440","4259.77"
"Europe","NoFlex Swaggi","3435","5106.55"
"Europe","Flyxㅤ","3430","4763.76"
"Europe","iBoars Arokiz","3405","5570.65"
"Europe","Juzry","3405","4787.67"
"Europe","G Masta","3400","2682.99"
"Europe","dMIND.snoozlooz","3390","4252.73"
"Europe","Balaskoni","3390","5178.13"
"Europe","xp Jamz","3390","4828.91"
"Europe","HORT Moehre","3370","3161.36"
"Europe","twitch.hentv","3370","6811.17"
"Europe","TTV Bl4ckFN","3365","4454.86"
"Europe","MAD DeNiisS","3365","5217.34"
"Europe","C4 Decyptos","3365","3130.41"
"Europe","alliance tommo","3350","6180.31"
"Europe","gamingkuno","3350","7223.13"
"Europe","Castеry","3340","3026.97"
"Europe","MAD Tolezito","3335","5628.95"
"Europe","siг","3330","6520.62"
"Europe","J4chu -_-","3330","4662.84"
"Europe","Takeoffs iwnl","3325","3568.73"
"Europe","Sigma SvendPro","3315","3070.27"
"Europe","Jaqulaza","3310","4528.07"
"Europe","Imp Hellfire","3310","4244.33"
"Europe","KOVA Flowdi","3305","5844.81"
"Europe","WTerp","3290","4168.19"
"Europe","Flames Zrool","3285","5053.41"
"Europe","VGIA Markel","3270","3630.86"
"Europe","NewG Kyzen","3265","4465.19"
"Europe","eMz Gancheto","3245","3724.50"
"Europe","LOST JulianCoM-","3240","4584.58"
"Europe","Technique","3240","4459.91"
"Europe","M10 zwetschkE","3235","4092.19"
"Europe","papi snagged","3230","6133.22"
"Europe","Flames gram","3210","4820.17"
"Europe","Flame1x.","3200","4881.09"
"Europe","EnvY on tinder","3170","6778.82"
"Europe","egirl mps.skay","3170","3194.87"
"Europe","jetpacksGG","3165","3704.68"
"Europe","Prestige.Effect","3165","3132.99"
"Europe","FANCY.Wraxx","3160","4438.79"
"Europe","ho lee finnex","3160","3694.75"
"Europe","N47 Socka","3155","6228.22"
"Europe","big brain bamboe","3150","4722.60"
"Europe","Valiance Doma","3145","3748.74"
"Europe","Twitch ImDrepa","3145","6271.63"
"Europe","Wulfeе","3105","5777.56"
"Europe","topboy.","3090","4462.07"
"Europe","ndyguden","3090","3236.67"
"Europe","Xypher Kie","3050","3279.57"
"Europe","AdnFN","3040","3374.40"
"Europe","12 yo kid","3030","3057.98"
"Europe","SliXNL","3030","5537.26"
"Europe","OhShadow","3020","2644.54"
"Europe","Xypher Toorkk","3020","3689.44"
"Europe","AES Kazunaaa","2995","3554.94"
"Europe","Legxndz xddddddd","2990","3350.49"
"Europe","Alliance.Powder","2975","3274.90"
"Europe","name prince","2960","3878.86"
"Europe","myztro Tj","2950","2760.50"
"Europe","Feyy.","2940","4693.68"
"Europe","Edwìn","2920","4262.81"
"Europe","packо","2910","3559.75"
"Europe","S Mirage","2910","2856.14"
"Europe","Steptr","2905","5847.77"
"Europe","Monkeyf4ce","2900","6747.05"
"Europe","ńgk.","2895","3201.88"
"Europe","Pickiss.","2890","3283.36"
"Europe","Precious btw","2890","2597.62"
"Europe","Gaïaaa","2890","3668.50"
"Europe","Rasneyㅤㅤ","2875","2099.87"
"Europe","Sy Yoda","2870","3255.67"
"Europe","TQ Potato","2865","4159.67"
"Europe","Slide Faayn","2850","1958.43"
"Europe","grovestreet Kroq","2845","3180.53"
"Europe","AGO DaaV","2845","3390.15"
"Europe","Amusor","2840","3990.14"
"Europe","Sigma fex","2835","4395.76"
"Europe","LPG Fateu","2830","4648.10"
"Europe","S2V Harambe","2825","2087.37"
"Europe","Dexter is typing","2820","3145.05"
"Europe","MCES CraKy","2815","4288.05"
"Europe","Xypher xMqds","2815","3673.43"
"Europe","Reniiik","2810","5982.03"
"Europe","Caspersa","2810","5014.49"
"Europe","Azulay fr","2805","4671.73"
"Europe","AGO.zeek","2800","2870.46"
"Europe","DestinysJesusTTV","2800","2875.00"
"Europe","Oplon SkyllersTV","2800","2024.32"
"Europe","Malchïk","2795","3167.05"
"Europe","SAMSUNG Heatzy","2795","3432.85"
"Europe","Actió","2790","4164.96"
"Europe","Gemz_","2790","4116.76"
"Europe","HORT vortex","2785","3767.19"
"Europe","15th week 9","2775","2227.88"
"Europe","e T q","2775","2457.75"
"Europe","Axces On Sticks","2770","1958.58"
"Europe","S Nayu","2760","2698.63"
"Europe","VAB Shaykoz","2760","2957.73"
"Europe","KOVA Aistimus","2755","5057.41"
"Europe","VapxrzCSC","2750","3520.87"
"Europe","Filipthh","2745","2969.16"
"Europe","GW ĐMSIK","2740","4012.43"
"Europe","Team123 LETHAL","2730","3861.11"
"Europe","Villex -_-","2725","2628.79"
"Europe","Exalty G XIII","2720","2464.47"
"Europe","Exalty Moko","2720","2758.33"
"Europe","Aquexo_","2720","3594.73"
"Europe","jau.","2715","4857.19"
"Europe","LOST Vass","2705","3998.06"
"Europe","Team123 KPZET","2680","3865.30"
"Europe","BFC Albraik","2665","3338.03"
"Europe","AES Skribydoggy","2650","2394.48"
"Europe","JuleZinjo","2635","5621.78"
"Europe","FA ReZon-","2620","1775.22"
"Europe","DIVINEArmageddon","2620","2577.84"
"Europe","veteranoooooo","2620","2901.19"
"Europe","LOST-Apoxyl.","2620","3409.66"
"Europe","EVD Niwra","2615","3336.37"
"Europe","FantaExotic Lucy","2610","3540.11"
"Europe","CrushR.","2610","3647.46"
"Europe","AʟᴘʜᴀɴIsCʀᴀᴄᴋᴇᴅ","2610","2779.76"
"Europe","PERIKLE.","2610","4512.89"
"Europe","Navi Bowman","2605","3481.43"
"Europe","AeQ L3and3Boy","2600","2966.36"
"Europe","Azeonai","2600","3301.07"
"Europe","Larsㅤ","2595","2620.50"
"Europe","ePunks zus","2590","2815.36"
"Europe","MinZho is 2good","2590","3607.30"
"Europe","Virsuhh","2590","3684.97"
"Europe","Domilz","2585","5368.52"
"Europe","IboooHai","2585","4516.84"
"Europe","ketzon.","2580","5755.58"
"Europe","dræby","2580","4696.78"
"Europe","Omer Btw","2575","1918.32"
"Europe","Tinny","2570","2546.84"
"Europe","actually bayon","2570","3429.79"
"Europe","VRTX leonflares","2560","4236.44"
"Europe","uNp illusion","2560","3599.23"
"Europe","EVD Shah","2555","3612.98"
"Europe","JustSullyy","2550","2234.34"
"Europe","twitch fnlewis","2550","624.30"
"Europe","Twitch_T1Clapper","2550","2564.18"
"Europe","Sy Attak 123","2550","2613.93"
"Europe","Powah","2550","2358.71"
"Europe","EZ Mastirias TTV","2545","3484.72"
"Europe","Аdrian.","2540","4524.49"
"Europe","Loru77","2530","5266.61"
"Europe","Mavjoe","2525","2712.20"
"Europe","Thund3ЯG0D","2525","3114.10"
"Europe","DenMagiskePølse","2525","1569.24"
"Europe","Zeston.","2525","3159.56"
"Europe","ComedieTarteFN","2520","2841.87"
"Europe","Trixouuu","2515","3667.90"
"Europe","Voxe_.","2515","2876.15"
"Europe","POPL.","2495","2490.68"
"Europe","accy.","2490","3630.79"
"Europe","ATL Khuna","2490","3570.67"
"Europe","fleox has 0iq","2475","2850.86"
"Europe","pennzor","2475","2731.27"
"Europe","WGS_JAG","2475","2548.69"
"Europe","steelix.","2470","3217.39"
"Europe","mocarzz","2470","2957.77"
"Europe","LOST JoniZo","2470","3089.69"
"Europe","Risk.ㅤ","2455","4568.94"
"Europe","santo is single","2445","2916.19"
"Europe","poizon qwq","2445","3599.82"
"Europe","Method Jakei","2440","3104.93"
"Europe","justillegal VI","2440","3855.50"
"Europe","KåktusCSC","2440","3021.03"
"Europe","Zh1ny","2435","4957.84"
"Europe","Frіzzy","2425","2617.22"
"Europe","V Enc Night","2425","2630.41"
"Europe","Healty Twins","2415","3658.74"
"Europe","elliotG-","2415","4514.17"
"Europe","KillagoreTwitch","2400","2927.61"
"Europe","NxS_SpeezyX9","2400","3005.52"
"Europe","Setoх","2400","2520.06"
"Europe","AEVA Stef","2395","2521.65"
"Europe","Zadeq ez","2395","3236.77"
"Europe","Requiem JORDZZZ","2390","3026.40"
"Europe","Twitch Pezde2","2380","2944.62"
"Europe","MCES Nali","2375","2568.85"
"Europe","twitch pajs","2370","2569.67"
"Europe","Sy Sharkx","2370","2595.01"
"Europe","cute kullie","2370","2313.39"
"Europe","waldo boxfights","2350","2790.14"
"Europe","BFC Karnage","2345","2690.28"
"Europe","JSmoove-","2340","3597.62"
"Europe","JNips.","2340","3382.33"
"Europe","QLASH CrimiKevin","2340","4225.53"
"Europe","Milianiz OmyTV","2325","2683.60"
"Europe","dMIND.Wilq0o","2325","2868.00"
"Europe","HORT Furious","2320","1774.35"
"Europe","HRZ Llobeti4","2320","2523.26"
"Europe","gBots Serenexo","2315","3943.00"
