Name,Region,Date,TotalEvents,UniqueEvents
LDamienS,NA East,10/20/2019,2,2
LDamienS,NA East,10/18/2019,3,2
LDamienS,NA East,10/22/2019,2,1
LZR Kreo,NA East,10/22/2019,2,2
LZR Kreo,NA East,10/25/2019,2,2
LZR Kreo,NA East,10/21/2019,1,1
LZR Kreo,NA East,10/24/2019,1,1
LZR Kreo,NA East,10/17/2019,3,2
LZR Kreo,NA East,10/15/2019,2,1
LZR Kreo,NA East,10/14/2019,1,1
LZR Kreo,NA East,10/16/2019,1,1
LZR Kreo,NA East,10/20/2019,1,1
adhd walspar,NA East,10/17/2019,1,1
WildfireFN,NA East,10/20/2019,1,1
WildfireFN,NA East,10/15/2019,2,2
WildfireFN,NA East,10/19/2019,3,3
WildfireFN,NA East,10/16/2019,7,3
WildfireFN,NA East,10/22/2019,1,1
WildfireFN,NA East,10/23/2019,1,1
WildfireFN,NA East,10/26/2019,1,1
WildfireFN,NA East,10/24/2019,2,2
WildfireFN,NA East,10/21/2019,3,2
diddytheboy.ttv,NA East,10/25/2019,2,2
diddytheboy.ttv,NA East,10/21/2019,1,1
diddytheboy.ttv,NA East,10/23/2019,1,1
DavisEz,NA East,10/15/2019,1,1
DavisEz,NA East,10/19/2019,1,1
Thiccboy Luneze,NA East,10/15/2019,1,1
Thiccboy Luneze,NA East,10/25/2019,1,1
Thiccboy Luneze,NA East,10/23/2019,2,2
Thiccboy Luneze,NA East,10/24/2019,2,2
Loadist.,NA East,10/21/2019,2,1
Loadist.,NA East,10/26/2019,2,2
Loadist.,NA East,10/24/2019,1,1
Loadist.,NA East,10/18/2019,3,1
Loadist.,NA East,10/20/2019,2,2
Clank,NA East,10/18/2019,2,1
Clank,NA East,10/19/2019,2,1
Clank,NA East,10/20/2019,2,2
Clank,NA East,10/14/2019,3,3
Clank,NA East,10/17/2019,5,5
Clank,NA East,10/15/2019,1,1
Clank,NA East,10/24/2019,1,1
Clank,NA East,10/21/2019,2,2
zlеm,NA East,10/25/2019,1,1
zlеm,NA East,10/18/2019,2,2
XXiF,NA East,10/16/2019,1,1
XXiF,NA East,10/25/2019,1,1
FaZe Funk,NA East,10/23/2019,2,2
FaZe Funk,NA East,10/25/2019,3,2
FaZe Funk,NA East,10/21/2019,4,4
1400 Joelbtw,NA East,10/24/2019,1,1
1400 Joelbtw,NA East,10/14/2019,1,1
CardiganSweaters,NA East,10/16/2019,1,1
CardiganSweaters,NA East,10/21/2019,1,1
CardiganSweaters,NA East,10/22/2019,1,1
MRKN Perplexii,NA East,10/22/2019,1,1
MRKN Perplexii,NA East,10/23/2019,1,1
MRKN Perplexii,NA East,10/21/2019,3,2
MRKN Perplexii,NA East,10/15/2019,1,1
MRKN Perplexii,NA East,10/17/2019,2,1
Nate Hill,NA East,10/19/2019,1,1
Nate Hill,NA East,10/20/2019,1,1
Nate Hill,NA East,10/25/2019,3,2
Nate Hill,NA East,10/23/2019,1,1
Nate Hill,NA East,10/21/2019,6,3
Legedien,NA East,10/24/2019,1,1
Legedien,NA East,10/19/2019,1,1
NoSundayTrigg,NA East,10/15/2019,1,1
NoSundayTrigg,NA East,10/20/2019,1,1
NoSundayTrigg,NA East,10/22/2019,1,1
NoSundayTrigg,NA East,10/25/2019,1,1
NoSundayTrigg,NA East,10/21/2019,2,2
NoSundayTrigg,NA East,10/23/2019,2,2
100T Klass,NA East,10/24/2019,1,1
100T Klass,NA East,10/15/2019,1,1
100T Klass,NA East,10/17/2019,1,1
100T Klass,NA East,10/20/2019,1,1
100T Klass,NA East,10/18/2019,2,2
J.Storm_Painful,NA East,10/16/2019,3,1
J.Storm_Painful,NA East,10/17/2019,1,1
J.Storm_Painful,NA East,10/24/2019,1,1
J.Storm_Painful,NA East,10/21/2019,2,2
Ghost Dmo,NA East,10/25/2019,1,1
LiquidFiber,NA East,10/22/2019,1,1
LiquidFiber,NA East,10/23/2019,1,1
LiquidFiber,NA East,10/19/2019,2,2
Sublime Nicolai,NA East,10/18/2019,1,1
Sublime Nicolai,NA East,10/20/2019,1,1
CODE SEN-Aspect,NA East,10/16/2019,1,1
CODE SEN-Aspect,NA East,10/23/2019,1,1
CODE SEN-Aspect,NA East,10/25/2019,1,1
Nittle,NA East,10/24/2019,1,1
Nittle,NA East,10/25/2019,3,1
SEN Carose,NA East,10/22/2019,3,3
SEN Carose,NA East,10/25/2019,1,1
SEN Carose,NA East,10/17/2019,1,1
SEN Carose,NA East,10/18/2019,2,2
SEN Carose,NA East,10/20/2019,2,2
