Name,Region,Date,TotalEvents,UniqueEvents
Distrept,NA East,2019-10-20,1,1
NorCal Khanada,NA East,2019-10-15,1,1
NorCal Khanada,NA East,2019-10-18,1,1
NorCal Khanada,NA East,2019-10-20,1,1
NorCal Khanada,NA East,2019-10-19,6,4
NorCal Khanada,NA East,2019-10-17,3,3
Lazarº,NA East,2019-10-19,3,2
Lazarº,NA East,2019-10-20,2,2
roqz,NA East,2019-10-16,2,1
roqz,NA East,2019-10-18,2,2
roqz,NA East,2019-10-20,9,9
roqz,NA East,2019-10-19,1,1
Posick,NA East,2019-10-14,1,1
Posick,NA East,2019-10-15,11,4
Posick,NA East,2019-10-17,10,4
Posick,NA East,2019-10-20,4,3
Posick,NA East,2019-10-19,3,3
dimed.,NA East,2019-10-20,1,1
MSF Sceptic,NA East,2019-10-15,1,1
MSF Sceptic,NA East,2019-10-20,2,2
Pyro Voil,NA East,2019-10-20,2,1
Pyro Voil,NA East,2019-10-18,3,2
Pyro Voil,NA East,2019-10-17,4,4
Parallel Tekk,NA East,2019-10-14,3,2
EmadGG.,NA East,2019-10-15,1,1
EmadGG.,NA East,2019-10-16,1,1
EmadGG.,NA East,2019-10-19,1,1
100T Ceice,NA West,2019-10-14,1,1
100T Ceice,NA West,2019-10-15,1,1
100T Ceice,NA West,2019-10-20,2,2
Ghost Bizzle,NA East,2019-10-14,1,1
箸 Kdoe,NA East,2019-10-19,1,1
箸 Kdoe,NA East,2019-10-18,6,4
箸 Kdoe,NA East,2019-10-15,5,4
FLY Faultur,NA East,2019-10-18,2,2
NRG Zayt,NA East,2019-10-16,2,1
NRG Zayt,NA East,2019-10-18,2,2
NRG Zayt,NA East,2019-10-17,6,5
NRG Zayt,NA East,2019-10-20,9,8
NRG Zayt,NA East,2019-10-19,1,1
FajitaLatifaTV,NA East,2019-10-18,1,1
FajitaLatifaTV,NA East,2019-10-19,1,1
FajitaLatifaTV,NA East,2019-10-20,1,1
FajitaLatifaTV,NA East,2019-10-16,2,2
smqcked .,NA East,2019-10-19,2,1
smqcked .,NA East,2019-10-18,1,1
parallel effzy,NA East,2019-10-18,1,1
parallel effzy,NA East,2019-10-19,1,1
parallel effzy,NA East,2019-10-16,2,2
Fernando Martinz,NA East,2019-10-20,3,1
MRKN Av,NA East,2019-10-14,1,1
MRKN Av,NA East,2019-10-16,1,1
bmac,NA East,2019-10-17,1,1
bmac,NA East,2019-10-20,2,2
LUHM.,NA East,2019-10-16,1,1
LUHM.,NA East,2019-10-17,1,1
Relves tickles u,NA East,2019-10-20,4,3
Ninja,NA East,2019-10-19,4,4
Ninja,NA East,2019-10-17,1,1
Ninja,NA East,2019-10-20,1,1
06-09-19,NA East,2019-10-19,1,1
06-09-19,NA East,2019-10-18,2,2
LXRY addison,NA East,2019-10-19,1,1
Felix.-.,NA East,2019-10-15,1,1
Felix.-.,NA East,2019-10-20,1,1
zyfа,NA East,2019-10-16,1,1
